City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
191,Mantua,IT,2022-05-14 14:52:04,45.1667,10.7833,84.81,52,4,4.0
192,Pinotepa Nacional,MX,2022-05-14 14:52:04,16.3167,-98.0167,89.58,46,68,3.42
193,Los Barrios,ES,2022-05-14 14:52:05,36.1848,-5.4921,67.84,77,0,6.91
194,Tuatapere,NZ,2022-05-14 14:49:31,-46.1333,167.6833,46.42,93,100,5.03
195,Lahaina,US,2022-05-14 14:50:58,20.8783,-156.6825,75.81,84,18,8.55
196,Hobyo,SO,2022-05-14 14:52:06,5.3505,48.5268,82.31,80,67,25.37
197,Polunochnoye,RU,2022-05-14 14:52:06,60.8697,60.4153,45.64,88,100,5.77
198,Albury,AU,2022-05-14 14:52:07,-36.0833,146.9167,60.85,100,100,4.61
199,Nuuk,GL,2022-05-14 14:47:41,64.1835,-51.7216,27.21,68,75,6.91
200,Portland,US,2022-05-14 14:48:43,45.5234,-122.6762,57.61,95,100,8.05
201,Magnolia,US,2022-05-14 14:52:07,33.2671,-93.2393,73.09,63,45,4.9
202,Ribeira Grande,PT,2022-05-14 14:52:07,38.5167,-28.7,61.2,100,75,26.46
203,Huejuquilla El Alto,MX,2022-05-14 14:52:08,22.6,-103.8667,72.27,46,96,0.85
204,Zhovkva,UA,2022-05-14 14:52:08,50.0583,23.9726,60.24,66,72,12.82
205,Mayo,US,2022-05-14 14:52:08,38.8876,-76.5119,68.56,93,100,4.61
206,Valparaiso,CL,2022-05-14 14:50:48,-33.0393,-71.6273,57.43,82,100,3.44
207,Bejar,ES,2022-05-14 14:52:09,40.3864,-5.7634,81.57,35,71,8.1
208,Veraval,IN,2022-05-14 14:52:09,20.9,70.3667,84.16,80,0,14.0
209,Mahon,ES,2022-05-14 14:52:09,39.8885,4.2658,77.56,41,0,9.22
210,Innisfail,AU,2022-05-14 14:52:10,-17.5333,146.0333,70.63,88,37,3.85
211,Oranjemund,NA,2022-05-14 14:52:10,-28.55,16.4333,62.53,59,0,19.01
212,Havelock,US,2022-05-14 14:52:11,34.8791,-76.9013,71.58,92,75,6.91
213,Caravelas,BR,2022-05-14 14:52:11,-17.7125,-39.2481,76.64,83,100,10.2
214,Villa Carlos Paz,AR,2022-05-14 14:52:11,-31.4241,-64.4978,59.05,48,100,1.99
215,San Quintin,MX,2022-05-14 14:52:12,30.4833,-115.95,67.95,57,51,4.92
216,Nsoko,SZ,2022-05-14 14:52:12,-27.0333,31.95,78.06,83,33,5.53
217,Norman Wells,CA,2022-05-14 14:52:12,65.282,-126.8329,35.64,80,75,17.27
218,Tete,MZ,2022-05-14 14:52:13,-16.1564,33.5867,86.09,37,75,5.75
219,Codrington,AU,2022-05-14 14:52:13,-38.2667,141.9667,54.39,94,0,11.07
220,Tampakan,PH,2022-05-14 14:52:13,6.4442,124.9264,75.56,97,100,1.34
221,Oakland,US,2022-05-14 14:52:14,42.6667,-83.3999,80.19,62,20,7.0
222,Severo-Kurilsk,RU,2022-05-14 14:52:14,50.6789,156.125,37.81,94,100,20.71
223,Soller,ES,2022-05-14 14:50:28,39.7662,2.7152,84.04,54,100,1.99
224,Inirida,CO,2022-05-14 14:52:15,3.8653,-67.9239,82.54,85,64,2.06
225,Sungai Besar,MY,2022-05-14 14:52:15,3.6746,100.9867,80.8,86,100,3.8
226,Noumea,NC,2022-05-14 14:51:11,-22.2763,166.4572,69.78,78,99,8.79
227,San Cristobal,VE,2022-05-14 14:52:15,7.7669,-72.225,75.38,56,100,7.99
228,Graham,US,2022-05-14 14:52:16,47.0529,-122.2943,48.29,90,100,1.01
229,Akyab,MM,2022-05-14 14:52:16,20.15,92.9,84.76,78,14,7.02
230,Cairns,AU,2022-05-14 14:53:16,-16.9167,145.7667,75.07,96,100,0.0
231,Comodoro Rivadavia,AR,2022-05-14 14:50:28,-45.8667,-67.5,51.66,43,0,11.5
232,Bandarbeyla,SO,2022-05-14 14:53:17,9.4942,50.8122,84.29,76,2,20.49
233,Parana,AR,2022-05-14 14:53:17,-31.732,-60.5238,68.56,66,27,7.02
234,Omboue,GA,2022-05-14 14:53:17,-1.5746,9.2618,83.08,75,97,9.78
235,Quatre Cocos,MU,2022-05-14 14:53:18,-20.2078,57.7625,77.11,69,63,12.3
236,Geraldton,AU,2022-05-14 14:53:18,-28.7667,114.6,59.41,88,40,8.05
237,Flinders,AU,2022-05-14 14:53:18,-34.5833,150.8552,69.19,92,17,4.0
238,Russell,US,2022-05-14 14:53:19,32.3502,-85.1999,74.97,84,100,0.0
239,Vila Velha,BR,2022-05-14 14:53:19,-20.3297,-40.2925,80.55,61,40,12.66
240,Alofi,NU,2022-05-14 14:53:19,-19.0595,-169.9187,71.49,73,100,6.91
241,Venado Tuerto,AR,2022-05-14 14:49:55,-33.7456,-61.9688,61.77,18,84,8.61
242,Lamar,US,2022-05-14 14:53:20,33.6668,-95.5836,82.63,83,0,3.44
243,Taksimo,RU,2022-05-14 14:53:20,56.3444,114.8794,41.43,90,92,3.24
244,Muros,ES,2022-05-14 14:53:21,42.7762,-9.0603,88.68,51,56,6.98
245,Krasnoselkup,RU,2022-05-14 14:49:38,65.7,82.4667,50.76,85,69,11.21
246,Mareeba,AU,2022-05-14 14:53:21,-17.0,145.4333,70.45,95,89,1.97
247,Billings,US,2022-05-14 14:51:29,45.7833,-108.5007,47.52,45,40,9.22
248,Mugur-Aksy,RU,2022-05-14 14:53:21,50.35,90.5,50.52,26,56,4.29
249,Tarboro,US,2022-05-14 14:48:33,35.8968,-77.5358,73.09,83,75,3.44
250,Fortuna,US,2022-05-14 14:53:22,40.5982,-124.1573,54.91,97,100,4.61
251,Aklavik,CA,2022-05-14 14:53:22,68.2191,-135.0107,23.0,80,100,10.36
252,Tuban,ID,2022-05-14 14:53:22,-6.8976,112.0649,81.48,80,96,3.09
